FLOW_OUTcms,EVAPcms,TLOSScms,SED_OUTtons,SEDCONCmgL,ORGN_OUTkg,ORGP_OUTkg,NO3_OUTkg,NH4_OUTkg,NO2_OUTkg,MINP_OUTkg,CHLA_OUTkg,CBOD_OUTkg,DISOX_OUTkg,TOTNkg
6.94176434,2354.41374,12.871594302,1643.13464,156.567314925,11.255472284,113.725855866,49.016480513,15.754672227,14.636765255,0.521231718,6298.46570002,2484.89165721,326.421483276,24.593393951
12.80532016,9382.23648,103.058899232,6014.01968,770.059404144,72.222493408,835.679278176,256.06372896,62.91554648,103.140285104,6.29140224,65749.8579381,9956.68539802,1867.89354941,168.678773264
7.01147282,4993.32292,37.765520364,3495.69132,501.204514138,37.643883456,544.99909752,162.91583557,47.478209204,52.84539211,2.285166656,21284.1583918,4924.4554267,1239.87276422,87.394474656
4.95882975,2766.88989,15.484162986,1895.78118,249.626027103,18.050962953,285.18252744,78.784424556,25.400999823,24.670383672,1.12704831,9006.02028635,2834.77759468,624.186867585,40.427213739
9.29666272,3744.35061,25.430412398,2453.84016,270.681636743,22.749517211,238.557278063,87.669175318,24.390522818,30.137720709,1.453725733,16557.1570545,3853.59188319,603.950910632,50.628283541
9.11201896,5387.76978,39.084416497,3391.54506,497.938735499,33.123580845,485.727815307,161.095165157,52.914553322,46.808923479,2.096714944,20541.6723039,5309.53831036,1181.75671664,76.884357445
10.4426479,7278.3643,95.49301005,4969.1541,553.85945829,43.94718862,630.52651698,170.93250079,46.96887465,53.34659577,4.00322837,62234.1503505,7987.307192,1372.37079014,94.0606341
11.46092584,4577.59328,33.633912832,3205.23944,460.844890792,30.510922208,486.69812724,146.13258036,45.345743768,35.693983832,1.580748312,20588.2322077,4838.25502628,1149.85508227,64.838405112
21.68295087,8736.94513,76.715467724,6025.4794,749.697459423,55.315655886,694.444398323,236.98853978,66.038961725,65.321754177,4.498049622,42651.7045917,9328.35558558,1716.04337067,117.598052954
6.0135932,7319.62908,68.690599472,4840.01532,538.894511444,41.982298184,596.701301972,170.244028744,48.27829184,50.409805976,3.139519516,46146.5954418,7432.29811972,1324.8266368,88.933360864
8.6970491,5372.0346,53.697869645,3640.798,451.30923347,32.614677145,515.697303365,151.789140985,47.268889095,50.480964555,2.2587808,36836.2227348,5508.35907997,1161.06107023,80.91785008
6.76410165,5331.01005,57.57536205,3963.6774,468.93977073,36.44814519,504.886560615,156.2931513,45.619251165,43.365759975,2.785685175,41801.0087531,4754.64577829,1156.94369212,77.028900255
7.22365644,5692.13106,74.574264534,4211.12076,617.883007896,47.638246194,474.485161458,198.456757884,50.868226332,56.545432482,3.50850192,52501.7081349,5874.78325665,1334.87224009,101.67537534
5.90784285,4125.0027,35.534451225,3071.27925,361.95350568,26.16297112,482.545579165,117.2213237,32.221464795,33.78706812,1.82512226,21373.0459509,4128.69239672,985.049479505,57.43541895
8.75034102,7367.13351,96.885055413,4559.29131,684.326840682,54.868688853,689.845631511,207.321631857,59.486208366,62.300724945,4.534665153,67267.6185092,7597.50039164,1602.89469479,112.582734519
20.31665896,7319.23244,64.799117929,4875.29341,602.861365925,47.155942015,541.837391303,194.940758974,47.927129367,57.208057049,4.148907412,37325.0930659,7436.85386445,1383.42906434,102.130978768
6.64652062,7195.9812,86.052778592,5084.60222,664.568945628,57.398269888,584.832732394,216.841410386,54.277222228,63.826400846,4.816008038,62733.8905243,7111.62449744,1489.9485471,117.189342982
15.75317652,10502.11768,118.368453509,6485.4963,1070.15701894,86.898131004,1057.63562475,345.004591676,90.32071852,104.594763251,6.889978219,83408.7964519,11269.2027572,2535.98790096,186.818323975
15.4106754,7308.63948,68.420679972,4935.86508,628.627278204,52.141964604,487.242055284,203.549934888,53.090332872,67.8279807,3.955118328,47446.6724016,7480.83542567,1357.21855322,116.55883494
5.2208114,3776.9266,30.31972286,2481.677,296.26644885,22.66461193,261.47386815,104.69558255,29.5983113,34.56259427,1.38071484,18962.6053007,3755.0413939,678.87747416,54.84054956
14.70957505,9735.20125,89.091788451,5268.31407,897.611934505,69.613346559,1100.42795726,296.392535791,83.737050917,95.785335984,5.503466286,58763.1185696,9578.54239148,2324.01814381,159.173932056
21.845518,8884.6576,97.79164439,6315.6735,765.018141265,69.96606839,790.380299495,234.602251915,57.390555605,75.24987678,5.32774351,65397.6183362,9909.22276777,1840.40037742,142.58227881
10.54221748,7512.90772,121.577670338,5312.26784,683.55386916,63.318336258,595.093908258,209.379634428,56.051285562,74.935080642,5.60586942,92773.2545795,7793.24591722,1526.48181019,135.0292874
7.3249573,7375.7369,71.367173228,4707.26892,666.860050224,54.665254992,594.275182188,211.936785336,61.206683064,68.322936208,4.547820976,50761.9929354,7312.59526028,1514.60693767,118.922776424
12.49876038,5922.4474,51.442275415,3601.39576,501.654060257,38.818904003,444.419939389,169.23992537,46.973052825,57.872581238,2.508310526,34317.700197,5928.63926741,1144.68344437,92.167488571
5.96804898,7495.53142,94.745268018,5512.21924,725.549329016,65.742723468,500.589503602,219.168674598,58.914333588,69.434340614,4.437245926,74469.1425005,7173.45601192,1468.6321037,130.214557396
8.6897438,6182.40156,58.760487828,4144.66188,581.459793352,48.175771912,359.767762316,194.04334174,50.543910536,66.077482716,2.987636644,42081.8294282,5954.23823797,1167.38814856,109.58930456
