FOREST_COVER1,PCP1,FOREST_COVER2,PCP2,FOREST_COVER3,PCP3,FOREST_COVER4,PCP4,FOREST_COVER5,PCP5,FOREST_COVER6,PCP6,FOREST_COVER7,PCP7,FOREST_COVER8,PCP8,FOREST_COVER9,PCP9,FOREST_COVER10,PCP10,FOREST_COVER11,PCP11,FOREST_COVER12,PCP12,FOREST_COVER13,PCP13,FOREST_COVER14,PCP14,FOREST_COVER15,PCP15,FOREST_COVER16,PCP16,FOREST_COVER17,PCP17,FOREST_COVER18,PCP18,FOREST_COVER19,PCP19,FOREST_COVER20,PCP20,FOREST_COVER21,PCP21,FOREST_COVER22,PCP22,FOREST_COVER23,PCP23,FOREST_COVER24,PCP24,FOREST_COVER25,PCP25,FOREST_COVER26,PCP26,FOREST_COVER27,PCP27,FOREST_COVER28,PCP28,FOREST_COVER29,PCP29,FOREST_COVER30,PCP30,FOREST_COVER31,PCP31
21.626,1023.4,25.346,1023.401,38.815,1023.4,24.897,1023.4,45.149,1023.4,69.484,1023.4,20.681,1023.4,30.595,1023.4,13.757,1023.399,49.112,1181.7,26.877,1023.4,25.336,1181.701,52.871,1023.4,10.659,1023.4,12.717,1181.701,13.623,1181.7,21.371,1181.7,7.087,1181.7,12.269,1181.7,3.579,1023.4,32.557,1181.7,27.761,1023.4,9.01,1181.7,23.02,1181.701,14.384,1115.901,9.244,1030.7,35.64,1030.7,18.968,1030.699,33.893,1030.701,47.296,1030.701,44.797,1030.699
21.626,909.2,25.346,909.201,38.815,909.2,24.897,909.2,45.149,909.2,69.484,909.2,20.681,909.2,30.595,909.2,13.757,909.2,49.112,949.8,26.877,909.2,25.336,949.8,52.871,909.2,10.659,909.2,12.717,949.801,13.623,949.8,21.371,949.8,7.087,949.8,12.269,949.8,3.579,909.2,32.557,949.8,27.761,909.2,9.01,949.8,23.02,949.801,14.384,982.901,9.244,954.4,35.64,954.401,18.968,954.399,33.893,954.401,47.296,954.401,44.797,954.399
21.626,1061.8,25.346,1061.801,38.815,1061.8,24.897,1061.8,45.149,1061.8,69.484,1061.8,20.681,1061.8,30.595,1061.8,13.757,1061.8,49.112,1069.6,26.877,1061.8,25.336,1069.6,52.871,1061.8,10.659,1061.8,12.717,1069.601,13.623,1069.6,21.371,1069.6,7.087,1069.6,12.269,1069.6,3.579,1061.8,32.557,1069.6,27.761,1061.8,9.01,1069.6,23.02,1069.601,14.384,1164.301,9.244,956.3,35.64,956.3,18.968,956.299,33.893,956.301,47.296,956.301,44.797,956.299
21.626,883.4,25.346,883.401,38.815,883.4,24.897,883.4,45.149,883.4,69.484,883.4,20.681,883.4,30.595,883.4,13.757,883.4,49.112,835.4,26.877,883.4,25.336,835.4,52.871,883.4,10.659,883.4,12.717,835.401,13.623,835.4,21.371,835.4,7.087,835.4,12.269,835.4,3.579,883.4,32.557,835.4,27.761,883.4,9.01,835.4,23.02,835.401,14.384,951.001,9.244,792.2,35.64,792.2,18.968,792.199,33.893,792.2,47.296,792.201,44.797,792.199
21.626,900.0,25.346,900.0,38.815,900.0,24.897,900.0,45.149,900.0,69.484,900.0,20.681,900.0,30.595,900.0,13.757,900.0,49.112,810.6,26.877,900.0,25.336,810.6,52.871,900.0,10.659,900.0,12.717,810.601,13.623,810.6,21.371,810.6,7.087,810.6,12.269,810.6,3.579,900.0,32.557,810.6,27.761,900.0,9.01,810.6,23.02,810.601,14.384,1054.901,9.244,844.5,35.64,844.5,18.968,844.499,33.893,844.5,47.296,844.501,44.797,844.499
21.626,1025.2,25.346,1025.2,38.815,1025.2,24.897,1025.2,45.149,1025.2,69.484,1025.2,20.681,1025.2,30.595,1025.2,13.757,1025.199,49.112,1106.8,26.877,1025.2,25.336,1106.8,52.871,1025.2,10.659,1025.2,12.717,1106.801,13.623,1106.8,21.371,1106.8,7.087,1106.8,12.269,1106.8,3.579,1025.2,32.557,1106.8,27.761,1025.2,9.01,1106.8,23.02,1106.801,14.384,1108.501,9.244,1149.8,35.64,1149.801,18.968,1149.799,33.893,1149.8,47.296,1149.801,44.797,1149.799
21.626,913.1,25.346,913.1,38.815,913.1,24.897,913.1,45.149,913.1,69.484,913.1,20.681,913.1,30.595,913.1,13.757,913.099,49.112,920.8,26.877,913.1,25.336,920.8,52.871,913.1,10.659,913.1,12.717,920.801,13.623,920.8,21.371,920.8,7.087,920.8,12.269,920.8,3.579,913.1,32.557,920.8,27.761,913.1,9.01,920.8,23.02,920.801,14.384,934.001,9.244,911.8,35.64,911.8,18.968,911.799,33.893,911.8,47.296,911.801,44.797,911.799
21.626,1016.5,25.346,1016.501,38.815,1016.5,24.897,1016.5,45.149,1016.5,69.484,1016.5,20.681,1016.5,30.595,1016.5,13.757,1016.499,49.112,781.9,26.877,1016.5,25.336,781.9,52.871,1016.5,10.659,1016.5,12.717,781.901,13.623,781.9,21.371,781.9,7.087,781.9,12.269,781.9,3.579,1016.5,32.557,781.9,27.761,1016.5,9.01,781.9,23.02,781.901,14.384,995.001,9.244,986.2,35.64,986.2,18.968,986.199,33.893,986.2,47.296,986.201,44.797,986.199
21.626,900.3,25.346,900.3,38.815,900.3,24.897,900.3,45.149,900.3,69.484,900.3,20.681,900.3,30.595,900.3,13.757,900.3,49.112,830.2,26.877,900.3,25.336,830.2,52.871,900.3,10.659,900.3,12.717,830.201,13.623,830.2,21.371,830.2,7.087,830.2,12.269,830.2,3.579,900.3,32.557,830.2,27.761,900.3,9.01,830.2,23.02,830.201,14.384,1051.901,9.244,937.8,35.64,937.8,18.968,937.799,33.893,937.8,47.296,937.801,44.797,937.799
21.626,1214.6,25.346,1214.601,38.815,1214.6,24.897,1214.6,45.149,1214.6,69.484,1214.6,20.681,1214.6,30.595,1214.601,13.757,1214.599,49.112,1021.0,26.877,1214.6,25.336,1021.0,52.871,1214.6,10.659,1214.6,12.717,1021.001,13.623,1021.0,21.371,1021.0,7.087,1021.0,12.269,1021.0,3.579,1214.6,32.557,1021.0,27.761,1214.6,9.01,1021.0,23.02,1021.001,14.384,1083.201,9.244,986.6,35.64,986.6,18.968,986.599,33.893,986.6,47.296,986.601,44.797,986.599
